JSON_file,type,mentionText
pg_2379.json,book_author,"Austen, Jane"
pg_2379.json,book_title,field Park
pg_2373.json,book_author,"Addison, Joseph &"
pg_2373.json,book_author,Richard Steele
pg_2373.json,book_author,Bobbs Merrill
pg_2373.json,book_title,Brit essay-lit
pg_2373.json,book_title,SELECTED ESSAYS
pg_2377.json,book_author,"Austen, Jane."
pg_2377.json,book_author,Lady Susan/Watsons/Sanditon.
pg_2372.json,book_author,Adams. Richard
pg_2372.json,book_author,Watership Down
pg_2372.json,book_title,- Avon
pg_2381.json,book_author,"Austen, Jane"
pg_2381.json,book_author,Northanger abbey.
pg_2376.json,book_author,"Austen, Jane"
pg_2375.json,book_author,"Amis, Kingsley"
pg_2375.json,book_author,LUCKY JIM
pg_2385.json,book_author,"Austen, Jane"
pg_2385.json,book_title,Fride &prejudice.
pg_2370.json,book_author,"Spater, George, and Ian Parsons"
pg_2370.json,book_author,Daedalus
pg_2370.json,book_title,A MARRIAGE OF TRUE MINDS
pg_2374.json,book_author,"Amis, Kingsley"
pg_2374.json,book_title,ENDING UP
pg_2383.json,book_author,"Austen, Jane."
pg_2383.json,book_author,Persuasion.
pg_0067.json,book_author,DEAR SCOTT/DEAR MAX
pg_0067.json,book_author,"Fitzgerald, F. Scott"
pg_0067.json,book_author,"Eagleton, Terence"
pg_0067.json,book_title,EXILES & EMIGRES:
pg_0067.json,book_title,STUDIES IN MODERN LITERATURE
pg_2305.json,book_author,"Strachey, Lytton"
pg_2318.json,book_author,"Woolf, Virginia"
pg_2318.json,book_title,BETWEEN THE ACTS
pg_2331.json,book_author,"Woolf, Virginia"
pg_2331.json,book_author,Bloomsbury
pg_2331.json,book_title,DIARY OF VIRGINIA WOOLF Vol 2
pg_2282.json,book_author,Thucydides
pg_2282.json,book_author,Harvard Lo
pg_2282.json,book_title,BOOKS VII & VIII
pg_2295.json,book_author,"Rosenbaum, S. P. (ed.)"
pg_2295.json,book_title,THE BLOOMSBURY GROUP
pg_2295.json,book_title,v. of Toronto
pg_2322.json,book_title,Woolf Virginia
pg_2322.json,book_title,COLLECTED ESSAYS VOL 3
pg_2334.json,book_author,"Woolf, Virginia"
pg_2334.json,book_author,FRESHWATER A Comedy
pg_2334.json,book_title,Kramerbooks
pg_2334.json,book_title,Bloomsbury
pg_2297.json,book_author,"Shone, Richard"
pg_2297.json,book_author,Bloomsbury
pg_2297.json,book_title,BLOOMSBURY PORTRAITS
pg_2311.json,book_author,"Woolf, Leonard"
pg_2311.json,book_title,DOWNHILL ALL THE WAY
pg_2324.json,book_author,"Woolf, Virginia"
pg_2324.json,book_title,COLLECTED ESSAYS VOL 4
pg_2337.json,book_author,"Woolf, Virginia"
pg_2337.json,book_title,JACOB'S ROOM
pg_2275.json,book_author,SUETONIUS II
pg_2275.json,book_author,Harvard Loeb
pg_2288.json,book_author,Harvard Loeb
pg_2288.json,book_title,VIRGIL II
pg_2288.json,book_title,ECLOGUES AENEID
pg_2288.json,book_title,MINOR POEMS
pg_2314.json,book_author,"Woolf, Leonard"
pg_2314.json,book_title,THE JOURNEY NOT THE ARRIVAL MATTERS
pg_2278.json,book_author,Thucydides II
pg_2278.json,book_author,Harvard Lo
pg_2278.json,book_title,BOOKS III I
pg_2291.json,book_author,"Bell, Clive"
pg_2291.json,book_author,Bloomsbury
pg_2291.json,book_title,CIVILIZATION & OLD FRIENDS
pg_2291.json,book_title,University of Chicago
pg_2291.json,book_title,(no D.S
pg_2304.json,book_author,"Strachey, Lytton"
pg_2304.json,book_title,LITERARY ESSAYS
pg_2317.json,book_author,"Woolf, Leonard"
pg_2317.json,book_title,THE WISE VIRGINS
pg_2330.json,book_author,"Woolf, Virginia"
pg_2330.json,book_author,"olf, Vol."
pg_2330.json,book_author,Bloomsbury
pg_2330.json,book_title,The Diary of Virginia Wo
pg_2294.json,book_author,"Lehmann, John"
pg_2294.json,book_author,Holt Rinehart Winston
pg_2294.json,book_author,Bloomsbury
pg_2294.json,book_title,THROWN TO THE WOOLFS
pg_2307.json,book_author,Bloomsbury
pg_2307.json,book_author,Michael Holroyd
pg_2307.json,book_author,Holt Rinehart Winston
pg_2307.json,book_title,LYTTON STRACHEY BOX
pg_2307.json,book_title,The Unknown Years 1880
pg_2307.json,book_title,The Years of Achievement 10
pg_2307.json,book_title,Copper Fox Farm Books
pg_2333.json,book_author,"Woolf, Virginia"
pg_2284.json,book_author,THISISAYELLOWCARDTHISISAYELLOWCARDTHISISAYELLOWCARD
pg_2284.json,book_title,THISISA
pg_2284.json,book_title,DE LINGUA LATINA I
pg_2336.json,book_author,"Woolf, Virginia"
pg_2336.json,book_title,A HAUNTED HOUSE
pg_2274.json,book_author,SUETONIUS I
pg_2287.json,book_title,ECLOGUES GEORGICS AENEID
pg_2326.json,book_author,Virginia Woolf
pg_2326.json,book_title,CONTEMPORARY WRITERS
pg_2303.json,book_author,"Strachey, Lytton"
pg_2303.json,book_title,EMINENT VICTORIANS
pg_2316.json,book_author,"Woolf, Leonard"
pg_2329.json,book_author,"Woolf, Virginia"
pg_2329.json,book_author,Baker & Taylor
pg_2329.json,book_title,THE DIARY OF VIRGINIA WOOLF Vol 1
pg_2280.json,book_author,Thucydides
pg_2280.json,book_author,Harvard Lo
pg_2293.json,book_author,Carmington
pg_2293.json,book_author,Thames & Hudson
pg_2293.json,book_title,BICOMSBURY
pg_2319.json,book_author,"Woolf, Virginia"
pg_2319.json,book_author,BOOKS & PORTRAITS
pg_2332.json,book_author,"Woolf, Virginia"
pg_2332.json,book_author,Bloomsbury
pg_2332.json,book_title,DIARY OF VIRGINIA WOOLF
pg_2309.json,book_author,"Woolf, Leonard"
pg_2309.json,book_title,BEGGINNING AGAIN
pg_2321.json,book_author,"Woolf, Virginia"
pg_2321.json,book_title,THE CAPTAIN'S DEATH BED AND OTHER ESSAYS
pg_2335.json,book_author,"Woolf, Virginia"
pg_2335.json,book_title,GRANITE AND RAINBOW ESSAYS
pg_2286.json,book_author,Harvard Loeb
pg_2286.json,book_title,DE LINGUA LATINA II
pg_2299.json,book_author,"Watson, Sara Ruth"
pg_2299.json,book_author,V. SACKVILLE-WEST
pg_2299.json,book_author,Daedalus
pg_2299.json,book_author,Bloomsbury
pg_2312.json,book_author,Leonard Woolf
pg_2276.json,book_author,Harvard Lo
pg_2276.json,book_title,Thucydides I
pg_2276.json,book_title,BOOKS I & II
pg_2290.json,book_author,"Anscombe, Isabelle"
pg_2290.json,book_author,Thames & Hudson
pg_2290.json,book_title,OMEGA & AFTER Bloomsbury & the Decorative Arts cloth
pg_2301.json,book_author,"Strachey, Lytton"
pg_2301.json,book_author,ELIZABETH AND ESSEX
pg_2328.json,book_author,"Woolf, Virginia"
pg_2328.json,book_title,THE DEATH OF THE MOTH AND OTHER ESSAYS
pg_2369.json,book_author,John Lehmann
pg_2369.json,book_title,VIRGINIA WOOLF AND HER WORLD
pg_2368.json,book_author,Jean Guiguet
pg_2368.json,book_title,VIRGINIA WOOLF AND HER WORKS
pg_2340.json,book_author,"Woolf, Virginia"
pg_2340.json,book_author,BAker & Talyor
pg_2340.json,book_title,THE LETTERS OF VIRGINIA WOOLF Vol 3
pg_2367.json,book_author,"Freedman, Ralph"
pg_2367.json,book_title,VIRGINAI WOOLF Revaluation & Continuity
pg_2367.json,book_title,Univ. of Calif.
pg_2341.json,book_author,"Woolf, Virginia"
pg_2341.json,book_title,LETTERS OF VIRGINÃA WOOLF VOL4
pg_2366.json,book_author,"Fleishman, Avron"
pg_2366.json,book_title,VIRGINIA WOOLF:
pg_2366.json,book_title,A CRITICAL READING
pg_2339.json,book_author,"Woolf, Virginia"
pg_2339.json,book_title,THE LETTERS OF VIRGINAL WOOLF VOL 2
pg_2365.json,book_author,"Brewster, Dorothy"
pg_2365.json,book_title,VIRGINIA WOOLF
pg_2338.json,book_author,"Woolf, V."
pg_2338.json,book_author,: Harcourt (Harvest
pg_2338.json,book_title,"The Letters of Virginia Woolf, I"
pg_2364.json,book_author,VIRGINIA WOOLF
pg_2364.json,book_author,"Bennett, H.S. Joan"
pg_2364.json,book_title,HER ART
pg_2363.json,book_author,"WOOLF, VIR"
pg_2363.json,book_author,Quentin Bell
pg_2363.json,book_title,GINIA: A BIOGRAPHY
pg_2362.json,book_author,"Woolf, Virginia"
pg_2362.json,book_title,THE YEARS
pg_2361.json,book_author,"Woolf, Virginia"
pg_2361.json,book_title,A WRITER'S DIARY
pg_2360.json,book_author,"Woolf, Virginia"
pg_2360.json,book_title,THE WAVES
pg_2359.json,book_author,"Woolf, Virginia"
pg_2359.json,book_title,THE VOYAGE OUT
pg_2358.json,book_author,"Woolf, Virginia"
pg_2358.json,book_title,TO THE LIGHTHOUSE
pg_2357.json,book_author,"Woolf, Virginia"
pg_2357.json,book_title,TO THE LIGHTHOUSE
pg_2356.json,book_author,"Woolf, Virginia"
pg_2356.json,book_title,THREE GUINEAS
pg_2355.json,book_author,"Woolf, Virginia"
pg_2355.json,book_title,THE SECOND COMMON READER
pg_2353.json,book_author,"Woolf, Virginia"
pg_2353.json,book_title,ROGER FRY: A BIOGRAPHY
pg_2352.json,book_author,"Woolf, Virginia"
pg_2352.json,book_title,THE PARGITERS
