# ----------------------------------------
# Google organic search traffic: Landing page + query string
# Account: it-journey
# Property: it-journey.dev
# ----------------------------------------
# 
# All Users
# Start date: 20251017
# End date: 20251113
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Active users,Engaged sessions,Engagement rate,Average engagement time per active user,Event count,Key events,Ad revenue
/quests/bashcrawl-terminal-adventure/,19,1354,0.014032496307237814,8.1794682422452,19,14,0.6086956521739131,43,139,0,0
/notes/2025-02-05-host-django-on-raspberry-pi-a-complete-guide/2025-02-05-host-django-on-raspberry-pi-a-complete-guide/,11,489,0.022494887525562373,7.7280163599182,10,9,0.9,113.3,51,0,0
/docs/jekyll-diagram-with-mermaid/,10,655,0.015267175572519083,6.697709923664122,8,7,0.6363636363636364,34.25,41,0,0
/notes/Journal%20Entries/Github_s%20hidden%20gem/github-s-hidden-gem/,7,100,0.07,9.28,0,0,0,0,0,0,0
/notes/2025-01-16-mastering-iterm-shortcuts-for-efficiency/2025-01-16-mastering-iterm-shortcuts-for-efficiency/,5,392,0.012755102040816327,9.178571428571429,5,3,0.6,12.8,21,0,0
/quests/side-quest-nerd-font-enchantment/,5,755,0.006622516556291391,9.89271523178808,5,2,0.4,7.6,18,0,0
/about/how-to/add-floating-back-to-top-button/,3,39,0.07692307692307693,9.64102564102564,2,1,0.5,24,10,0,0
/posts/2024/03/27/bootable-mac-os/,3,557,0.005385996409335727,9.716337522441652,3,2,0.6666666666666666,29.666666666666668,12,0,0
/posts/vscode-front-matter-fork-development-setup/,3,263,0.011406844106463879,7.752851711026616,3,3,1,58.666666666666664,13,0,0
/quests/level-1100-conquer-king-edgar/,3,345,0.008695652173913044,9.281159420289855,3,2,0.6666666666666666,22.333333333333332,14,0,0
/notebooks/html_md_doc_scrapper/html-md-doc-scrapper/,2,254,0.007874015748031496,9.141732283464567,2,2,1,38,9,0,0
/notes/cheetsheets/Windows%20Powershell%20Cheatsheet/windows-powershell-cheatsheet/,2,155,0.012903225806451613,13.670967741935485,0,0,0,0,0,0,0
/quickstart/machine-setup/,2,213,0.009389671361502348,11.699530516431924,2,0,0,2.5,7,0,0
/about/config/,1,263,0.0038022813688212928,9.577946768060837,0,0,0,0,0,0,0
/about/tree/,1,15,0.06666666666666667,11.8,1,1,1,15,5,0,0
/docs/deploying-jekyll-website-to-netlify/,1,57,0.017543859649122806,6.614035087719298,1,0,0,3,4,0,0
/docs/docs/jekyll/cms/jekyll-frontmatter-cms/,1,157,0.006369426751592357,11.802547770700636,1,1,1,0,4,0,0
/docs/jekyll-highlighting/,1,111,0.009009009009009009,8.82882882882883,1,1,1,176,4,0,0
/docs/jekyll-social-share-buttons/,1,51,0.0196078431372549,9.607843137254902,1,0,0,2,5,0,0
/notebooks/jupyter-to-markdown/jupyter-to-markdown/,1,35,0.02857142857142857,18.285714285714285,1,0,0,4,4,0,0
/notes/2025-01-23-sass-mixins/2025-01-23-sass-mixins/,1,164,0.006097560975609756,29.347560975609756,0,0,0,0,0,0,0
/notes/cheetsheets/2022-10-07-powershell/2022-10-07-powershell/,1,333,0.003003003003003003,8.312312312312311,1,1,1,33,4,0,0
/notes/html_md_doc_scrapper/html-md-doc-scrapper/,1,230,0.004347826086956522,9.869565217391305,1,1,1,34,4,0,0
/posts/2024/06/02/markdown-code-to-scripts/,1,129,0.007751937984496124,9.472868217054264,1,1,1,39,4,0,0
/posts/el-capitan-bootable-installer-apple-silicon/,1,76,0.013157894736842105,8.328947368421051,4,0,0,0,12,0,0
/posts/javascript-jekyll-interactive-demo/,1,8,0.125,16.375,1,0,0,6,5,0,0
/quests/frontend/,1,10,0.1,17.6,1,1,1,9,5,0,0
/quests/oh-my-zsh-terminal-enchantment/,1,58,0.017241379310344827,7.879310344827586,2,1,0.5,26,9,0,0
/quests/vscode-mastery/,1,97,0.010309278350515464,11.103092783505154,1,1,1,166,5,0,0
/,0,38,0,4.342105263157895,5,2,0.4,6.2,19,0,0
/ABOUT_REORGANIZATION_SUMMARY/,0,1,0,3,0,0,0,0,0,0,0
/DEPENDENCY_UPDATE_SUMMARY/,0,4,0,2,0,0,0,0,0,0,0
/LINK_CHECKER_VALIDATION/,0,3,0,4.666666666666666,0,0,0,0,0,0,0
