JSON_file,title,author,title_verified,author_verified,isbn
pg_2379.json,field Park,"Austen, Jane",field Park,Austen,ISBN Not Found
pg_2373.json,SELECTED ESSAYS,Bobbs Merrill,SELECTED ESSAYS,Bobbs Merrill,0571047920
pg_2377.json,,Lady Susan/Watsons/Sanditon.,,Lady Susan/Watsons/Sanditon.,ISBN Not Found
pg_2372.json,- Avon,Watership Down,- Avon,Watership Down,0836952634
pg_2381.json,,Northanger abbey.,,Northanger abbey.,ISBN Not Found
pg_2376.json,,"Austen, Jane",,Austen,ISBN Not Found
pg_2375.json,,LUCKY JIM,,LUCKY JIM,ISBN Not Found
pg_2385.json,Fride &prejudice.,"Austen, Jane",Fride &prejudice.,Austen,8203086489
pg_2370.json,A MARRIAGE OF TRUE MINDS,Daedalus,A MARRIAGE OF TRUE MINDS,Daedalus,0701204362
pg_2374.json,ENDING UP,"Amis, Kingsley",Ending up,Kingsley Amis,9780140124606
pg_2383.json,,Persuasion.,,Persuasion.,ISBN Not Found
pg_0067.json,STUDIES IN MODERN LITERATURE,"Eagleton, Terence",STUDIES IN MODERN LITERATURE,Eagleton,1432546139
pg_2305.json,,"Strachey, Lytton",,Strachey,ISBN Not Found
pg_2318.json,BETWEEN THE ACTS,"Woolf, Virginia",Between the Acts,Virginia Woolf,9780156118705
pg_2331.json,DIARY OF VIRGINIA WOOLF Vol 2,Bloomsbury,DIARY OF VIRGINIA WOOLF Vol 2,Bloomsbury,0701204478
pg_2282.json,BOOKS VII & VIII,Harvard Lo,BOOKS VII & VIII,Harvard Lo,019872098X
pg_2295.json,v. of Toronto,"Rosenbaum, S. P. (ed.)",v. of Toronto,S. P. (ed.),066543216X
pg_2322.json,COLLECTED ESSAYS VOL 3,,COLLECTED ESSAYS VOL 3,,0710812493
pg_2334.json,Bloomsbury,FRESHWATER A Comedy,Bloomsbury,FRESHWATER A Comedy,9781854715623
pg_2297.json,BLOOMSBURY PORTRAITS,Bloomsbury,BLOOMSBURY PORTRAITS,Bloomsbury,0714816280
pg_2311.json,DOWNHILL ALL THE WAY,"Woolf, Leonard",Downhill all the way,Leonard Woolf,0701202513
pg_2324.json,COLLECTED ESSAYS VOL 4,"Woolf, Virginia",COLLECTED ESSAYS VOL 4,Virginia,1329813960
pg_2337.json,JACOB'S ROOM,"Woolf, Virginia",Jacob's Room,Virginia Woolf,8831766694
pg_2275.json,,Harvard Loeb,,Harvard Loeb,ISBN Not Found
pg_2288.json,MINOR POEMS,Harvard Loeb,MINOR POEMS,Harvard Loeb,ISBN Not Found
pg_2314.json,THE JOURNEY NOT THE ARRIVAL MATTERS,"Woolf, Leonard",The journey not the arrival matters,Leonard Woolf,9780156465236
pg_2278.json,BOOKS III I,Harvard Lo,BOOKS III I,Harvard Lo,0757941524
pg_2291.json,(no D.S,Bloomsbury,(no D.S,Bloomsbury,ISBN Not Found
pg_2304.json,LITERARY ESSAYS,"Strachey, Lytton",Literary essays,Giles Lytton Strachey,ISBN Not Found
pg_2317.json,THE WISE VIRGINS,"Woolf, Leonard",The wise virgins,Leonard Woolf,9781903155332
pg_2330.json,The Diary of Virginia Wo,Bloomsbury,The Diary of Virginia Wo,Bloomsbury,ISBN Not Found
pg_2294.json,THROWN TO THE WOOLFS,Bloomsbury,THROWN TO THE WOOLFS,Bloomsbury,9780297775454
pg_2307.json,Copper Fox Farm Books,Holt Rinehart Winston,Copper Fox Farm Books,Holt Rinehart Winston,ISBN Not Found
pg_2333.json,,"Woolf, Virginia",,Virginia,ISBN Not Found
pg_2284.json,DE LINGUA LATINA I,THISISAYELLOWCARDTHISISAYELLOWCARDTHISISAYELLOWCARD,DE LINGUA LATINA I,THISISAYELLOWCARDTHISISAYELLOWCARDTHISISAYELLOWCARD,ISBN Not Found
pg_2336.json,A HAUNTED HOUSE,"Woolf, Virginia","A haunted house, and other short stories",Virginia Woolf,9780156394017
pg_2274.json,,SUETONIUS I,,SUETONIUS I,ISBN Not Found
pg_2287.json,ECLOGUES GEORGICS AENEID,,ECLOGUES GEORGICS AENEID,,ISBN Not Found
pg_2326.json,CONTEMPORARY WRITERS,Virginia Woolf,Contemporary writers,Virginia Woolf,1134886012
pg_2303.json,EMINENT VICTORIANS,"Strachey, Lytton",Eminent Victorians,Giles Lytton Strachey,0594103266
pg_2316.json,,"Woolf, Leonard",,Leonard,ISBN Not Found
pg_2329.json,THE DIARY OF VIRGINIA WOOLF Vol 1,Baker & Taylor,THE DIARY OF VIRGINIA WOOLF Vol 1,Baker & Taylor,ISBN Not Found
pg_2280.json,,Harvard Lo,,Harvard Lo,ISBN Not Found
pg_2293.json,BICOMSBURY,Thames & Hudson,BICOMSBURY,Thames & Hudson,ISBN Not Found
pg_2319.json,,BOOKS & PORTRAITS,,BOOKS & PORTRAITS,ISBN Not Found
pg_2332.json,DIARY OF VIRGINIA WOOLF,Bloomsbury,DIARY OF VIRGINIA WOOLF,Bloomsbury,1783788690
pg_2309.json,BEGGINNING AGAIN,"Woolf, Leonard",BEGGINNING AGAIN,Leonard,ISBN Not Found
pg_2321.json,THE CAPTAIN'S DEATH BED AND OTHER ESSAYS,"Woolf, Virginia","The captain's death bed, and other essays",Virginia Woolf,ISBN Not Found
pg_2335.json,GRANITE AND RAINBOW ESSAYS,"Woolf, Virginia",GRANITE AND RAINBOW ESSAYS,Virginia,ISBN Not Found
pg_2286.json,DE LINGUA LATINA II,Harvard Loeb,DE LINGUA LATINA II,Harvard Loeb,ISBN Not Found
pg_2299.json,,Bloomsbury,,Bloomsbury,ISBN Not Found
pg_2312.json,,Leonard Woolf,,Leonard Woolf,ISBN Not Found
