JSON_file,title,author
pg_2379.json,field Park,"Austen, Jane"
pg_2373.json,SELECTED ESSAYS,Bobbs Merrill
pg_2377.json,,Lady Susan/Watsons/Sanditon.
pg_2372.json,- Avon,Watership Down
pg_2381.json,,Northanger abbey.
pg_2376.json,,"Austen, Jane"
pg_2375.json,,LUCKY JIM
pg_2385.json,Fride &prejudice.,"Austen, Jane"
pg_2370.json,A MARRIAGE OF TRUE MINDS,Daedalus
pg_2374.json,ENDING UP,"Amis, Kingsley"
pg_2383.json,,Persuasion.
pg_0067.json,STUDIES IN MODERN LITERATURE,"Eagleton, Terence"
pg_2305.json,,"Strachey, Lytton"
pg_2318.json,BETWEEN THE ACTS,"Woolf, Virginia"
pg_2331.json,DIARY OF VIRGINIA WOOLF Vol 2,Bloomsbury
pg_2282.json,BOOKS VII & VIII,Harvard Lo
pg_2295.json,v. of Toronto,"Rosenbaum, S. P. (ed.)"
pg_2322.json,COLLECTED ESSAYS VOL 3,
pg_2334.json,Bloomsbury,FRESHWATER A Comedy
pg_2297.json,BLOOMSBURY PORTRAITS,Bloomsbury
pg_2311.json,DOWNHILL ALL THE WAY,"Woolf, Leonard"
pg_2324.json,COLLECTED ESSAYS VOL 4,"Woolf, Virginia"
pg_2337.json,JACOB'S ROOM,"Woolf, Virginia"
pg_2275.json,,Harvard Loeb
pg_2288.json,MINOR POEMS,Harvard Loeb
pg_2314.json,THE JOURNEY NOT THE ARRIVAL MATTERS,"Woolf, Leonard"
pg_2278.json,BOOKS III I,Harvard Lo
pg_2291.json,(no D.S,Bloomsbury
pg_2304.json,LITERARY ESSAYS,"Strachey, Lytton"
pg_2317.json,THE WISE VIRGINS,"Woolf, Leonard"
pg_2330.json,The Diary of Virginia Wo,Bloomsbury
pg_2294.json,THROWN TO THE WOOLFS,Bloomsbury
pg_2307.json,Copper Fox Farm Books,Holt Rinehart Winston
pg_2333.json,,"Woolf, Virginia"
pg_2284.json,DE LINGUA LATINA I,THISISAYELLOWCARDTHISISAYELLOWCARDTHISISAYELLOWCARD
pg_2336.json,A HAUNTED HOUSE,"Woolf, Virginia"
pg_2274.json,,SUETONIUS I
pg_2287.json,ECLOGUES GEORGICS AENEID,
pg_2326.json,CONTEMPORARY WRITERS,Virginia Woolf
pg_2303.json,EMINENT VICTORIANS,"Strachey, Lytton"
pg_2316.json,,"Woolf, Leonard"
pg_2329.json,THE DIARY OF VIRGINIA WOOLF Vol 1,Baker & Taylor
pg_2280.json,,Harvard Lo
pg_2293.json,BICOMSBURY,Thames & Hudson
pg_2319.json,,BOOKS & PORTRAITS
pg_2332.json,DIARY OF VIRGINIA WOOLF,Bloomsbury
pg_2309.json,BEGGINNING AGAIN,"Woolf, Leonard"
pg_2321.json,THE CAPTAIN'S DEATH BED AND OTHER ESSAYS,"Woolf, Virginia"
pg_2335.json,GRANITE AND RAINBOW ESSAYS,"Woolf, Virginia"
pg_2286.json,DE LINGUA LATINA II,Harvard Loeb
pg_2299.json,,Bloomsbury
pg_2312.json,,Leonard Woolf
pg_2276.json,BOOKS I & II,Harvard Lo
pg_2290.json,OMEGA & AFTER Bloomsbury & the Decorative Arts cloth,Thames & Hudson
pg_2301.json,,ELIZABETH AND ESSEX
pg_2328.json,THE DEATH OF THE MOTH AND OTHER ESSAYS,"Woolf, Virginia"
pg_2369.json,VIRGINIA WOOLF AND HER WORLD,John Lehmann
pg_2368.json,VIRGINIA WOOLF AND HER WORKS,Jean Guiguet
pg_2340.json,THE LETTERS OF VIRGINIA WOOLF Vol 3,BAker & Talyor
pg_2367.json,Univ. of Calif.,"Freedman, Ralph"
pg_2341.json,LETTERS OF VIRGINÃA WOOLF VOL4,"Woolf, Virginia"
pg_2366.json,A CRITICAL READING,"Fleishman, Avron"
pg_2339.json,THE LETTERS OF VIRGINAL WOOLF VOL 2,"Woolf, Virginia"
pg_2365.json,VIRGINIA WOOLF,"Brewster, Dorothy"
pg_2338.json,"The Letters of Virginia Woolf, I",: Harcourt (Harvest
pg_2364.json,HER ART,"Bennett, H.S. Joan"
pg_2363.json,GINIA: A BIOGRAPHY,Quentin Bell
pg_2362.json,THE YEARS,"Woolf, Virginia"
pg_2361.json,A WRITER'S DIARY,"Woolf, Virginia"
pg_2360.json,THE WAVES,"Woolf, Virginia"
pg_2359.json,THE VOYAGE OUT,"Woolf, Virginia"
pg_2358.json,TO THE LIGHTHOUSE,"Woolf, Virginia"
pg_2357.json,TO THE LIGHTHOUSE,"Woolf, Virginia"
pg_2356.json,THREE GUINEAS,"Woolf, Virginia"
pg_2355.json,THE SECOND COMMON READER,"Woolf, Virginia"
pg_2353.json,ROGER FRY: A BIOGRAPHY,"Woolf, Virginia"
pg_2352.json,THE PARGITERS,"Woolf, Virginia"
pg_2351.json,,"Woolf, Virginia"
pg_2350.json,,MRS. DALLOWAY
pg_2349.json,MOMENTS OF BEING,"Woolf, Virginia"
pg_2347.json,THE MOMENT AND OTHER ESSAYS,"Woolf, Virginia"
pg_2345.json,Bloomsbur,Harcourt Brace Jovanovich
